질의,포함핵심어,포함개수
인천에서 서해를 바라보며 휴식할 수 있는 강화도 근처 숙소 추천해줄 수 있어?,"서해, 강화도, 인천",3
부산 해운대에 있는 해운대역 근처 숙소 추천해 줄 수 있어?,"해운대, 부산, 해운대역",3
"부산에서 백스코와 시네마테크, 그리고 해동용궁사 근처에 머물기 좋은 숙소가 있을까요?","백스코, 시네마테크, 해동용궁사",3
해운대에 있는 신세계 아쿠아리움 주변에 좋은 숙소 추천해줄 수 있어?,"해운대, 아쿠아리움, 신세계",3
광주시 시청로 근처에 있는 이마트 주변으로 괜찮은 숙소가 있을까요?,"시청로, 이마트, 광주시",3
인천광역시 중구에 있는 인천 근처에 괜찮은 숙소가 있을까요?,"인천광역시, 중구, 인천",3
"부산 여행 중인데, 영도와 영도다리 근처에 괜찮은 숙소 추천해 줄 수 있어?","영도다리, 부산, 영도",3
광주 북구에 있는 영산강 근처에 머물기 좋은 숙소가 있을까요?,"영산강, 북구, 광주",3
강화군 송해면에 있는 숭뢰리 근처에 추천할 만한 숙소가 있을까요?,"숭뢰리, 송해면, 강화군",3
부산에서 중국과 영국 스타일을 느낄 수 있는 독특한 숙소가 있을까요?,"부산, 중국, 영국",3
부산진구에 있는 서면역 근처에 괜찮은 숙소 추천해 줄 수 있어?,"부산진구, 서면역, 부산",3
인천에서 송도로 이동하기 전에 차이나타운 근처에 위치한 멋진 숙소 추천해줄 수 있어?,"차이나타운, 인천, 송도",3
"""광주에 있을 때 시드니나 일본에서 온 관광객들이 좋아할 만한 숙소가 있을까요?""","광주, 시드니, 일본",3
광주 동명동에 있는 조선 근처에 추천할 만한 숙소가 있을까요?,"광주, 동명동, 조선",3
해운대 주변에 있는 숙소 중에서 이기대나 오륙도에 가기 편한 곳이 있을까요?,"해운대, 이기대, 오륙도",3
인천에 있는 영종도 쪽 닥교동 근처에 숙박할 만한 괜찮은 곳 있을까요?,"닥교동, 영종도, 인천",3
대구 경북 지역의 범어동 근처에 있는 좋은 숙소를 추천해 줄 수 있어?,"대구, 범어동, 경북",3
인천에서 강화군 근처에 있는 숙소 중에 영국 분위기를 느낄 수 있는 곳 있을까요?,"영국, 강화군, 인천",3
영종도에 있는 공항철도를 이용하기 편리한 운서역 근처에 괜찮은 숙소가 있을까요?,"영종도, 공항철도, 운서역",3
동래에서 온천장역 근처에 위치한 금정산을 쉽게 갈 수 있는 숙소가 있을까요?,"동래, 온천장역, 금정산",3
"대구 여행 계획 중인데, 서문시장과 동성로 근처에 괜찮은 숙소 추천해줄 수 있어?","대구, 서문시장, 동성로",3
