숙소명,고유명사_TFIDF
골든튤립인천에어포트호텔,"{'공항철도': 0.172, '인천공항': 0.137, '영종도': 0.401, '운서역': 0.172}"
스카이탑호텔,"{'실미도': 0.159, '영종도': 0.259, '인천': 0.076}"
오션솔레뷰호텔,"{'월미도': 0.144, '구읍뱃터': 0.385, '영종도': 0.471, '인천': 0.092}"
오션파크나인호텔,"{'인천공항': 0.153, '영종도': 0.299, '서해': 0.144}"
호텔스카이파크인천송도,"{'인천': 0.334, '연수구': 0.123, '송도': 0.158, '송도국제도시': 0.117, '소래포구': 0.094, '월미도': 0.088}"
시우재[한국관광 품질인증/Korea Quality],"{'송도': 0.133, '인천': 0.094}"
엘리야리조트[한국관광 품질인증/Korea Quality],{'강화도': 0.137}
유앤아이 호텔[한국관광 품질인증/Korea Quality],"{'월미도': 0.172, '주안역': 0.241, '인천': 0.218, '문학경기장': 0.229}"
골드코스트호텔 인천,"{'호구포역': 0.265, '인천': 0.112, '남동구': 0.247}"
호텔 에버리치,"{'강화도': 0.188, '남산': 0.151, '한국': 0.095}"
소래호텔카카오,"{'소래포구역': 0.12, '인천': 0.217, '서해안': 0.103, '송도': 0.077, '서울': 0.097, '소래포구': 0.274, '수도권': 0.114, '서해': 0.09}"
호텔진,"{'시청역': 0.133, '인천': 0.317, '문학경기장': 0.133, '예술회관역': 0.14, '구월동': 0.14, '인천광역시': 0.128, '소래포구': 0.107}"
알리스위트호텔(R.LEE SUITE HOTEL),"{'간석오거리역': 0.148, '인천': 0.312, '문학경기장': 0.131}"
인터내셔널호텔 인천영종,"{'월미도': 0.098, '구읍뱃터': 0.261, '인천': 0.124, '영종하늘도시': 0.147}"
올인원게스트하우스,"{'아라뱃길': 0.229, '청라': 0.457, '인천': 0.097, '서구': 0.188}"
에떼르모 펜션,"{'강화도': 0.147, '인천': 0.1, '서해': 0.165}"
인천영종도 하늘과바다호텔,{'구읍뱃터': 0.275}
네스트호텔,"{'스트란트': 0.163, '영종도': 0.118, '인천': 0.069}"
로얄엠포리움호텔,"{'월미도': 0.181, '용유도': 0.255, '영종도': 0.198, '인천': 0.115}"
Ann299,"{'영흥도': 0.177, '영흥대교': 0.207}"
레스테 호텔,"{'인천': 0.332, '광명역': 0.262}"
루시아펜션,"{'백령도': 0.293, '인천': 0.066, '진촌리': 0.157, '연인': 0.101}"
더휴식 아늑호텔 인천 부평점,{'인천': 0.08}
더휴식 아늑호텔 인천구월점,{'인천': 0.105}
미타스야 료칸 호텔 인천서구청역점,{'인천': 0.068}
바다정원펜션,"{'대부도': 0.234, '선재도': 0.251}"
반도관광호텔,"{'계양구': 0.246, '인천': 0.104}"
노을&바다 펜션,{'영흥도': 0.265}
W모텔(구 쉘모텔),"{'강화도': 0.391, '초지대교': 0.419, '서해': 0.147, '서울': 0.159}"
도자기펜션,{'연인': 0.162}
신도펜션,"{'구봉산': 0.204, '옹진군': 0.191, '인천광역시': 0.174, '신도': 0.382, '풀하우스': 0.204, '북도면': 0.204, '연인': 0.132}"
위딜펜션,"{'석모도': 0.156, '강화군': 0.156, '인천광역시': 0.162, '보문사': 0.19, '서해': 0.133}"
베스트웨스턴 하버파크호텔,"{'월미도': 0.143, '인천공항': 0.159, '차이나타운': 0.191, '인천': 0.182}"
쉐라톤 그랜드 인천 호텔,"{'송도': 0.256, '인천공항': 0.105, '커넥션': 0.142, '인천': 0.18}"
오라카이 송도파크호텔,"{'맨하튼': 0.166, '송도': 0.199}"
아일랜드캐슬,{'백령도': 0.327}
오션사이드 호텔,{'인천공항': 0.261}
통나무집펜션,{'영흥도': 0.219}
태양의해변,{'강화도': 0.179}
호텔 준 (Hotel June Incheon Airport),{'인천': 0.075}
인천공항호텔(Hotel Incheon Airport),"{'인천': 0.237, '한국': 0.117}"
씨월드관광호텔,"{'영종도': 0.154, '인천': 0.18, '서해': 0.148}"
경원BIZ모텔[한국관광 품질인증/Korea Quality],"{'울산': 0.133, '동구': 0.163}"
스카이 모텔(울산),"{'뉴코아아울렛': 0.178, '울산': 0.649, '남구': 0.304, '중앙시장': 0.357}"
L모텔,"{'간절곶': 0.249, '서생포왜성': 0.292}"
호텔현대 바이 라한 울산,"{'울산': 0.147, '동구': 0.18}"
롯데호텔 울산,"{'중국': 0.098, '롯데': 0.432, '러시아': 0.11, '베트남': 0.103, '모스크바': 0.11, '울산': 0.4, '하노이': 0.11, '심양': 0.11}"
울산 굿모닝 관광호텔,"{'울산': 0.29, '한국': 0.15}"
브이온천모텔,"{'양산': 0.165, '통도사': 0.165, '울주군': 0.174, '신불산': 0.348, '울산': 0.226}"
어련당,"{'동천': 0.108, '어련천': 0.108, '동천강': 0.108, '조선시대': 0.277, '울산': 0.132}"
타임모텔,{'울산': 0.261}
루이스호텔,"{'울산': 0.329, '일산동': 0.271, '동구': 0.201}"
여우비관광호텔,{'울산': 0.158}
블루오션뷰,"{'울산': 0.116, '간절곶': 0.162}"
울산시티호텔,{'울산': 0.457}
롯데시티호텔 울산,"{'롯데': 0.111, '한국': 0.107, '통도사': 0.151, '간절곶': 0.145, '울산': 0.619}"
신라스테이 울산,"{'울산': 0.106, '신라': 0.623}"
오션뷰호텔,{'울산': 0.191}
V온천모텔,{'울산': 0.088}
배내골 걸리버 펜션,"{'울산': 0.159, '배내': 0.523, '연인': 0.169}"
수호천사,"{'부산': 0.095, '간절곶': 0.214, '동해': 0.214, '울산': 0.153, '연인': 0.163}"
브라운도트호텔 (장생포점),"{'동해': 0.133, '울산': 0.095, '남구': 0.133}"
다담한옥,"{'간월산': 0.171, '간월루': 0.171}"
알프스온천모텔,"{'한국': 0.117, '통도사': 0.165, '울주군': 0.174, '신불산': 0.348, '울산': 0.113}"
